[2026-03-26 00:12:26.700884] Token verification failed: The specified alg value is not allowed | Token: eyJhbGciOiJFUzI1NiIs...
[2026-03-26 00:12:41.774861] Token verification failed: The specified alg value is not allowed | Token: eyJhbGciOiJFUzI1NiIs...
[2026-03-26 00:12:56.864154] Token verification failed: The specified alg value is not allowed | Token: eyJhbGciOiJFUzI1NiIs...
[2026-03-26 00:13:11.992365] Token verification failed: The specified alg value is not allowed | Token: eyJhbGciOiJFUzI1NiIs...
[2026-03-26 00:13:27.600707] Token verification failed: The specified alg value is not allowed | Token: eyJhbGciOiJFUzI1NiIs...
[2026-03-26 00:13:42.938845] Token verification failed: The specified alg value is not allowed | Token: eyJhbGciOiJFUzI1NiIs...
[2026-03-26 00:13:58.025649] Token verification failed: The specified alg value is not allowed | Token: eyJhbGciOiJFUzI1NiIs...
[2026-03-26 00:14:13.382275] Token verification failed: The specified alg value is not allowed | Token: eyJhbGciOiJFUzI1NiIs...
[2026-03-26 00:14:28.709289] Token verification failed: The specified alg value is not allowed | Token: eyJhbGciOiJFUzI1NiIs...
[2026-03-26 00:14:43.824437] Token verification failed: The specified alg value is not allowed | Token: eyJhbGciOiJFUzI1NiIs...
[2026-03-26 00:15:00.587594] Token verification failed: The specified alg value is not allowed | Token: eyJhbGciOiJFUzI1NiIs...
[2026-03-26 00:15:15.721338] Token verification failed: The specified alg value is not allowed | Token: eyJhbGciOiJFUzI1NiIs...
[2026-03-26 00:15:30.801365] Token verification failed: The specified alg value is not allowed | Token: eyJhbGciOiJFUzI1NiIs...
[2026-03-26 00:15:45.890488] Token verification failed: The specified alg value is not allowed | Token: eyJhbGciOiJFUzI1NiIs...
[2026-03-26 00:16:00.983175] Token verification failed: The specified alg value is not allowed | Token: eyJhbGciOiJFUzI1NiIs...
[2026-03-26 00:16:16.083936] Token verification failed: The specified alg value is not allowed | Token: eyJhbGciOiJFUzI1NiIs...
[2026-03-26 00:16:31.183644] Token verification failed: The specified alg value is not allowed | Token: eyJhbGciOiJFUzI1NiIs...
[2026-03-26 00:16:46.348856] Token verification failed: The specified alg value is not allowed | Token: eyJhbGciOiJFUzI1NiIs...
[2026-03-26 00:17:01.429282] Token verification failed: The specified alg value is not allowed | Token: eyJhbGciOiJFUzI1NiIs...
[2026-03-26 00:17:16.500795] Token verification failed: The specified alg value is not allowed | Token: eyJhbGciOiJFUzI1NiIs...
